Team,PG,SG,SF,PF,C,Poss,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
League Averages,,,,,,,,,,116.0,,54.5%,,14.8%,,29.3%,,22.1,,116.0,,54.5%,,14.8%,,29.3%,,22.1
MIN,Anthony Edwards,Donte DiVincenzo,Jaden McDaniels,Julius Randle,Rudy Gobert,469,79,+13.6,73,123.0,80,60.4%,68,13.4%,56,28.9%,63,22.5,63,109.5,75,51.5%,54,14.0%,44,28.2%,66,16.2
TOR,Immanuel Quickley,Brandon Ingram,RJ Barrett,Scottie Barnes,Jakob Poeltl,355,56,+6.3,80,123.9,68,58.4%,65,13.5%,69,32.1%,61,22.1,32,117.6,24,58.1%,77,16.5%,46,27.7%,21,23.9
MIL,Ryan Rollins,AJ Green,Gary Trent Jr.,Giannis Antetokounmpo,Myles Turner,339,18,-9.5,51,116.5,76,60.0%,25,16.5%,27,25.5%,55,20.6,10,126.0,42,55.7%,14,10.8%,11,34.3%,14,25.7
DEN,Jamal Murray,Christian Braun,Cameron Johnson,Aaron Gordon,Nikola Jokic,324,77,+13.1,69,121.6,48,55.4%,63,13.6%,66,31.1%,76,23.8,70,108.5,63,52.5%,34,12.5%,83,21.0%,44,20.0
HOU,Amen Thompson,Josh Okogie,Kevin Durant,Jabari Smith Jr.,Alperen Sengun,290,61,+9.2,82,124.1,66,58.3%,66,13.4%,80,35.2%,52,20.5,41,114.9,32,57.1%,92,19.1%,13,34.3%,83,12.6
UTA,Keyonte George,Sviatoslav Mykhailiuk,Ace Bailey,Lauri Markkanen,Jusuf Nurkic,279,51,+2.3,56,117.9,37,54.6%,58,14.0%,85,35.3%,6,11.4,35,115.6,37,56.7%,49,13.8%,94,17.5%,18,24.7
ATL,Nickeil Alexander-Walker,Dyson Daniels,Zaccharie Risacher,Jalen Johnson,Onyeka Okongwu,278,66,+11.4,70,121.9,79,60.4%,44,14.7%,46,27.3%,31,17.1,58,110.5,48,55.3%,85,18.2%,48,27.6%,34,22.4
BKN,Egor Dëmin,Terance Mann,Michael Porter,Noah Clowney,Nicolas Claxton,268,15,-9.9,21,111.2,30,53.4%,39,15.3%,39,26.5%,68,22.6,23,121.1,18,59.6%,42,13.2%,65,25.2%,51,18.4
POR,Jrue Holiday,Shaedon Sharpe,Toumani Camara,Deni Avdija,Donovan Clingan,265,46,+2.0,34,114.7,42,55.1%,14,18.1%,87,36.4%,45,18.6,54,112.7,45,55.6%,66,15.0%,55,26.8%,62,17.5
