Player,Age,Team,Pos,MIN,MPG,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
AJ Green,26.1,MIL,Wing,679,29.6,91,+12.6,+29,94,+11.3,92,+4.8%,62,-0.7%,62,+1.1%,79,+3.2,56,-1.3,29,+1.8%,87,+2.3%,48,+0.3%,76,-2.8
Aaron Gordon,30.1,DEN,Forward,368,28.3,98,+20.8,+33,72,+4.1,38,-1.1%,96,-3.9%,46,-0.5%,47,-0.5,98,-16.8,94,-5.9%,50,-0.1%,97,-7.6%,81,-3.5
Aaron Holiday,29.1,HOU,Point,186,18.7,94,+14.4,+16,64,+2.4,46,-0.4%,98,-4.4%,3,-8.2%,96,+7.5,96,-12.0,96,-6.4%,85,+2.1%,45,+0.6%,8,+5.5
Aaron Nesmith,26.0,IND,Wing,334,30.4,69,+4.7,+8,63,+2.2,16,-3.2%,89,-2.4%,95,+7.3%,80,+3.2,65,-2.5,43,+0.6%,84,+2.1%,90,-4.8%,17,+3.5
Aaron Wiggins,26.8,OKC,Wing,283,25.8,42,-1.6,-2,38,-1.9,37,-1.2%,13,+2.3%,85,+4.1%,33,-1.7,52,-0.3,45,+0.5%,39,-0.7%,58,-0.8%,54,-0.3
Ace Bailey,19.2,UTA,Wing,439,20.9,22,-6.8,-14,29,-3.5,33,-1.5%,56,-0.3%,55,+0.4%,4,-6.5,31,+3.3,30,+1.7%,42,-0.6%,86,-4.1%,3,+7.7
Adem Bona,22.6,PHI,Big,249,15.6,49,+0.3,+1,31,-3.1,19,-2.8%,25,+1.4%,65,+1.3%,75,+2.5,69,-3.4,79,-3.0%,95,+3.4%,3,+7.0%,37,+1.5
Ajay Mitchell,23.4,OKC,Combo,555,25.3,71,+5.6,+7,35,-2.6,38,-1.2%,33,+0.8%,38,-1.2%,64,+1.4,87,-8.2,74,-2.5%,26,-1.4%,98,-8.0%,50,-0.1
Al Horford,39.4,GSW,Big,277,21.3,11,-12.5,-29,22,-4.9,22,-2.5%,57,-0.3%,7,-5.4%,72,+2.1,13,+7.6,11,+4.4%,89,+2.6%,16,+4.3%,67,-1.6
Alex Caruso,31.7,OKC,Forward,282,18.8,98,+20.6,+15,96,+13.2,95,+5.9%,71,-1.0%,12,-4.6%,70,+2.0,85,-7.3,65,-1.5%,98,+4.4%,79,-2.8%,8,+5.4
