Team,Base Net Rating,Home Adjust,Away Adjust,Adjusted Rating,Weight
GSW,0.1,16.2,-11.1,-11,0.7
BOS,4,3.9,0.8,4.8,0.7
DEN,13.2,19,1.7,14.9,0.7
LAL,3,1.2,5.3,3,0.7
BKN,-12.6,-14.1,-12.6,-12.6,0.7
DET,4.3,5.4,6.6,10.9,0.7
HOU,13,11,9.5,22.5,0.7
SAS,8.3,11.3,5.7,19.6,0.7
TOR,2.5,4.3,2.9,5.4,0.7
ATL,-0.8,-8.5,3.2,-9.3,0.7
ORL,-1.3,0.2,0.2,-1.1,0.7
PHI,4,5.1,3.3,9.1,0.7
DAL,-8.2,-6.5,-11.3,-19.5,0.7
WAS,-18.2,-22.4,-13.3,-40.6,0.7
MIA,6.2,17,0.5,23.2,0.7
POR,2.6,2.3,2.9,5.5,0.7
NOP,-12.9,-10.9,-14.4,-27.3,0.7
NYK,8.7,18.2,-9.4,26.9,0.7
MEM,-4.9,-3.6,-8.3,-13.2,0.7
OKC,13.6,14.1,12.8,27.7,0.7
IND,-11.1,-6.1,-15.6,-26.7,0.7
UTA,-7.9,3.9,-16,-4,0.7
SAC,-8.6,-11.4,-8.4,-20,0.7
MIL,1.5,6.7,-4.5,-3,0.7
CHA,-2.8,-0.2,-5.3,-3,0.7
CHI,0.8,5,-5.4,5.8,0.7
CLE,4.6,3.8,5,9.6,0.7
PHX,1.8,12.2,-10.8,-9,0.7
LAC,-5.1,0.3,-19.2,-4.8,0.7
MIN,5.5,8.7,4.3,14.2,0.7
