Team,Base Net Rating,Home Adjust,Away Adjust,Adjusted Rating,Weight,ORtg,DRtg,Pace,NetRtg
GSW,0.1,16.2,-11.1,-11.0,0.7,112.3,111.8,100.87,0.5
BOS,4.0,3.9,0.8,4.8,0.7,121.4,115.0,96.23,6.4
DEN,13.2,19.0,1.7,14.9,0.7,124.2,115.1,100.26,9.1
LAL,3.0,1.2,5.3,3.0,0.7,119.0,115.8,100.21,3.1
BKN,-12.6,-14.1,-12.6,-12.6,0.7,111.8,120.6,97.66,-8.8
DET,4.3,5.4,6.6,10.9,0.7,116.3,111.1,101.5,5.2
HOU,13.0,11.0,9.5,22.5,0.7,121.7,109.8,98.34,12.0
SAS,8.3,11.3,5.7,19.6,0.7,117.9,113.3,100.12,4.6
TOR,2.5,4.3,2.9,5.4,0.7,116.7,112.4,100.55,4.2
ATL,-0.8,-8.5,3.2,-9.3,0.7,114.2,113.2,102.01,1.0
ORL,-1.3,0.2,0.2,-1.1,0.7,116.7,112.2,101.52,4.5
PHI,4.0,5.1,3.3,9.1,0.7,114.5,114.1,100.58,0.4
DAL,-8.2,-6.5,-11.3,-19.5,0.7,107.8,112.2,102.23,-4.4
WAS,-18.2,-22.4,-13.3,-40.6,0.7,108.0,123.6,102.79,-15.6
MIA,6.2,17.0,0.5,23.2,0.7,115.5,111.2,105.63,4.3
POR,2.6,2.3,2.9,5.5,0.7,114.1,116.0,103.4,-1.9
NOP,-12.9,-10.9,-14.4,-27.3,0.7,110.3,120.3,101.04,-10.0
NYK,8.7,18.2,-9.4,26.9,0.7,121.2,114.1,99.07,7.1
MEM,-4.9,-3.6,-8.3,-13.2,0.7,111.5,115.0,101.34,-3.6
OKC,13.6,14.1,12.8,27.7,0.7,119.0,103.8,100.97,15.1
IND,-11.1,-6.1,-15.6,-26.7,0.7,107.7,117.1,101.67,-9.3
UTA,-7.9,3.9,-16.0,-4.0,0.7,113.6,119.4,102.87,-5.8
SAC,-8.6,-11.4,-8.4,-20.0,0.7,108.5,119.6,102.02,-11.1
MIL,1.5,6.7,-4.5,-3.0,0.7,114.3,116.6,100.03,-2.3
CHA,-2.8,-0.2,-5.3,-3.0,0.7,114.0,119.0,99.76,-5.1
CHI,0.8,5.0,-5.4,5.8,0.7,112.9,116.6,104.35,-3.7
CLE,4.6,3.8,5.0,9.6,0.7,116.6,113.3,102.08,3.3
PHX,1.8,12.2,-10.8,-9.0,0.7,116.1,113.2,100.12,2.9
LAC,-5.1,0.3,-19.2,-4.8,0.7,113.3,118.5,97.85,-5.2
MIN,5.5,8.7,4.3,14.2,0.7,118.0,113.2,101.18,4.8
