Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate,LastGameDate,DaysSinceLastGame,LastUpdateDate
Steven Adams,32.3,HOU,Big,177.0,40.0,-2.1,-3.0,20.0,-6.3,6.0,-7.2%,26.0,+1.5%,75.0,+3.3%,79.0,4.0,65.0,-4.2,63.0,-1.8%,50.0,-0.2%,28.0,+2.1%,90.0,-8.4,2025-11-30,3.0,2025-12-03
Giannis Antetokounmpo,30.9,MIL,Forward,290.0,86.0,15.8,36.0,97.0,19.3,97.0,+8.6%,61.0,-0.9%,93.0,+7.3%,91.0,7.5,34.0,3.5,40.0,+1.1%,13.0,-2.7%,50.0,-0.2%,33.0,2.1,2025-12-01,2.0,2025-12-03
Harrison Barnes,33.4,SAS,Big,274.0,13.0,-14.4,-27.0,29.0,-4.5,85.0,+5.3%,3.0,+4.6%,18.0,-4.2%,10.0,-6.8,14.0,9.9,13.0,+5.6%,3.0,-4.4%,61.0,-1.7%,91.0,-8.7,2025-12-02,1.0,2025-12-03
Nicolas Batum,36.9,LAC,Wing,142.0,35.0,-4.3,-8.0,35.0,-2.6,7.0,-6.9%,72.0,-1.6%,54.0,-0.1%,92.0,8.1,41.0,1.7,45.0,+0.5%,17.0,-2.3%,77.0,-4.1%,54.0,-0.7,2025-12-01,2.0,2025-12-03
Bradley Beal,32.3,LAC,Combo,120.0,39.0,-2.3,-3.0,82.0,8.4,84.0,+5.1%,91.0,-3.7%,9.0,-6.3%,23.0,-3.5,12.0,10.7,20.0,+4.0%,30.0,-1.6%,19.0,+4.2%,68.0,-2.9,2025-11-08,25.0,2025-12-03
Devin Booker,29.0,PHX,Combo,368.0,96.0,22.7,45.0,80.0,8.2,41.0,-0.6%,55.0,-0.5%,65.0,+1.7%,97.0,10.0,93.0,-14.5,89.0,-5.4%,88.0,+3.1%,76.0,-3.7%,5.0,9.3,2025-12-01,4.0,2025-12-05
Jaylen Brown,29.0,BOS,Wing,350.0,13.0,-14.2,-33.0,68.0,5.4,80.0,+4.3%,14.0,+2.6%,65.0,+1.5%,67.0,2.2,1.0,19.6,5.0,+7.4%,18.0,-2.2%,19.0,+4.1%,23.0,3.8,2025-12-02,2.0,2025-12-04
Jimmy Butler,36.1,GSW,Wing,309.0,77.0,11.6,28.0,63.0,3.7,45.0,-0.0%,99.0,-6.0%,42.0,-1.3%,77.0,3.8,79.0,-7.9,70.0,-2.5%,23.0,-2.0%,80.0,-4.5%,97.0,-11.7,2025-12-02,2.0,2025-12-04
Kentavious Caldwell-Pope,32.7,MEM,Combo,270.0,38.0,-2.8,-7.0,26.0,-5.4,13.0,-5.1%,62.0,-1.0%,60.0,+0.6%,84.0,5.0,57.0,-2.6,54.0,-0.2%,84.0,+2.6%,15.0,+5.0%,82.0,-5.5,2025-12-02,3.0,2025-12-05
Jordan Clarkson,33.4,NYK,Wing,144.0,18.0,-11.1,-22.0,28.0,-5.1,20.0,-3.7%,81.0,-2.2%,39.0,-1.8%,70.0,2.3,25.0,6.0,14.0,+5.2%,83.0,+2.4%,58.0,-1.3%,36.0,1.8,2025-12-02,1.0,2025-12-03
Mike Conley,38.1,MIN,Point,205.0,67.0,7.6,16.0,57.0,2.4,47.0,+0.0%,9.0,+3.0%,74.0,+3.1%,94.0,8.5,69.0,-5.2,38.0,+1.2%,20.0,-2.1%,97.0,-10.1%,74.0,-3.8,2025-12-02,2.0,2025-12-04
Stephen Curry,37.6,GSW,Point,249.0,48.0,0.9,2.0,81.0,8.2,88.0,+6.1%,24.0,+1.6%,39.0,-1.8%,51.0,0.1,19.0,7.3,25.0,+3.1%,54.0,-0.0%,39.0,+0.9%,35.0,1.8,2025-11-26,8.0,2025-12-04
Anthony Davis,32.6,DAL,Big,149.0,41.0,-2.0,-5.0,36.0,-2.0,32.0,-1.7%,59.0,-0.7%,42.0,-1.4%,45.0,-0.6,46.0,-0.0,26.0,+3.1%,61.0,+0.7%,72.0,-3.1%,67.0,-2.7,2025-12-01,2.0,2025-12-03
DeMar DeRozan,36.2,SAC,Forward,352.0,55.0,4.3,8.0,59.0,2.8,29.0,-2.2%,86.0,-2.9%,51.0,-0.4%,65.0,1.8,52.0,-1.5,71.0,-2.7%,17.0,-2.4%,25.0,+2.6%,6.0,8.8,2025-11-30,3.0,2025-12-03
Andre Drummond,32.2,PHI,Big,167.0,67.0,7.7,17.0,60.0,3.3,37.0,-1.3%,77.0,-1.9%,81.0,+4.2%,54.0,0.5,65.0,-4.4,63.0,-1.7%,32.0,-1.5%,88.0,-6.7%,44.0,0.8,2025-12-02,2.0,2025-12-04
Kris Dunn,31.6,LAC,Wing,221.0,8.0,-17.1,-33.0,9.0,-10.9,9.0,-6.2%,65.0,-1.2%,19.0,-4.1%,61.0,1.2,23.0,6.2,6.0,+6.9%,89.0,+3.3%,92.0,-7.7%,7.0,8.6,2025-12-01,2.0,2025-12-03
Kevin Durant,37.1,HOU,Wing,321.0,28.0,-6.7,-10.0,44.0,-0.4,4.0,-7.7%,59.0,-0.8%,85.0,+5.3%,100.0,20.9,22.0,6.3,35.0,+1.8%,43.0,-0.7%,22.0,+3.6%,9.0,7.5,2025-12-01,2.0,2025-12-03
Joel Embiid,31.6,PHI,Big,140.0,34.0,-4.4,-11.0,71.0,6.2,94.0,+7.5%,61.0,-0.9%,10.0,-6.1%,20.0,-3.7,12.0,10.6,7.0,+6.4%,12.0,-3.0%,64.0,-2.2%,71.0,-3.3,2025-11-30,4.0,2025-12-04
Rudy Gobert,33.3,MIN,Big,314.0,95.0,21.4,44.0,14.0,-9.0,57.0,+1.0%,40.0,+0.3%,35.0,-2.1%,44.0,-0.8,100.0,-30.4,100.0,-14.2%,39.0,-0.9%,100.0,-15.0%,91.0,-8.4,2025-12-02,2.0,2025-12-04
Aaron Gordon,30.1,DEN,Forward,235.0,43.0,-0.1,1.0,21.0,-6.1,17.0,-4.2%,76.0,-1.9%,19.0,-4.1%,43.0,-0.8,74.0,-6.0,67.0,-2.1%,22.0,-2.0%,96.0,-9.0%,58.0,-1.1,2025-11-21,12.0,2025-12-03
